date,exercise,reps,weight,1RM
2019-02-03,bench press,12.0,70.0,98.0
2019-02-03,bench press,8.0,90.0,114.0
2019-02-03,bench press,8.0,90.0,114.0
2019-02-03,bench press,8.0,90.0,114.0
2019-02-03,bench press,6.0,100.0,120.0
2019-02-03,bench press,6.0,100.0,120.0
2019-02-03,cable pullover,14.0,30.0,44.0
2019-02-03,cable pullover,8.0,42.5,53.83333333333333
2019-02-03,cable pullover,8.0,42.5,53.83333333333333
2019-02-03,cable pullover,8.0,42.5,53.83333333333333
2019-02-03,cable pushdown,15.0,30.0,45.0
2019-02-03,cable pushdown,10.0,42.5,56.666666666666664
2019-02-03,cable pushdown,8.0,50.0,63.33333333333333
2019-02-03,cable pushdown,5.0,50.0,58.333333333333336
2019-02-03,dumbbell incline press,12.0,70.0,98.0
2019-02-03,dumbbell incline press,8.0,90.0,114.0
2019-02-03,dumbbell incline press,8.0,90.0,114.0
2019-02-03,dumbbell incline press,8.0,90.0,114.0
2019-02-04,cable curl,8.0,40.0,50.666666666666664
2019-02-04,cable curl,8.0,50.0,63.33333333333333
2019-02-04,cable curl,8.0,50.0,63.33333333333333
2019-02-04,cable curl,5.0,50.0,58.333333333333336
2019-02-04,cable row,15.0,85.0,127.5
2019-02-04,cable row,10.0,100.0,133.33333333333331
2019-02-04,cable row,8.0,120.0,152.0
2019-02-04,dumbbell curl,8.0,50.0,63.33333333333333
2019-02-04,dumbbell curl,8.0,50.0,63.33333333333333
2019-02-04,lat pulldown,15.0,35.0,52.5
2019-02-04,lat pulldown,8.0,50.0,63.33333333333333
2019-02-04,lat pulldown,8.0,50.0,63.33333333333333
2019-02-04,lat pulldown,8.0,50.0,63.33333333333333
2019-02-05,standing dumbbell shoulder press,15.0,17.5,26.25
2019-02-05,standing dumbbell shoulder press,10.0,22.5,30.0
2019-02-05,standing dumbbell shoulder press,8.0,25.0,31.666666666666664
2019-02-05,standing dumbbell shoulder press,8.0,27.5,34.83333333333333
2019-02-07,bench press,12.0,70.0,98.0
2019-02-07,bench press,10.0,90.0,120.0
2019-02-07,bench press,8.0,100.0,126.66666666666666
2019-02-07,bench press,8.0,100.0,126.66666666666666
2019-02-07,bench press,12.0,100.0,140.0
2019-02-07,cable pullover,15.0,35.0,52.5
2019-02-07,cable pullover,8.0,45.0,57.0
2019-02-07,cable pullover,10.0,45.0,60.0
2019-02-07,cable pullover,8.0,,
2019-02-07,cable pullover,45.0,,
2019-02-07,cable pushdown,10.0,42.5,56.666666666666664
2019-02-07,dumbbell incline press,8.0,80.0,101.33333333333333
2019-02-07,dumbbell incline press,6.0,100.0,120.0
2019-02-07,dumbbell incline press,6.0,100.0,120.0
2019-02-07,dumbbell incline press,5.0,100.0,116.66666666666667
2019-02-08,cable curl,12.0,40.0,56.0
2019-02-08,cable row,12.0,100.0,140.0
2019-02-08,cable row,8.0,120.0,152.0
2019-02-08,cable row,8.0,120.0,152.0
2019-02-08,dumbbell curl,14.0,50.0,73.33333333333334
2019-02-08,dumbbell curl,8.0,55.0,69.66666666666666
2019-02-08,dumbbell curl,8.0,55.0,69.66666666666666
2019-02-08,dumbbell curl,6.0,55.0,66.0
2019-02-08,lat pulldown,15.0,55.0,82.5
2019-02-08,lat pulldown,12.0,70.0,98.0
2019-02-08,lat pulldown,8.0,85.0,107.66666666666666
2019-02-08,lat pulldown,8.0,85.0,107.66666666666666
2019-02-08,lat pulldown,6.0,100.0,120.0
2019-02-11,smith dl,5.0,90.0,105.0
2019-02-11,smith dl,5.0,110.0,128.33333333333334
2019-02-11,smith dl,5.0,160.0,186.66666666666669
2019-02-11,smith dl,5.0,160.0,186.66666666666669
2019-02-11,smith dl,5.0,160.0,186.66666666666669
2019-02-11,smith seated press,12.0,40.0,56.0
2019-02-11,smith seated press,10.0,50.0,66.66666666666666
2019-02-11,smith seated press,10.0,60.0,80.0
2019-02-11,smith seated press,8.0,65.0,82.33333333333333
2019-02-11,smith squat,5.0,70.0,81.66666666666667
2019-02-11,smith squat,5.0,90.0,105.0
2019-02-11,smith squat,5.0,90.0,105.0
2019-02-11,smith squat,5.0,90.0,105.0
